,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
151,World Blitz 2021,Warsaw POL,2021.12.29,7.39,"Firouzja,Alireza","Postny,E",1-0,2557,C88,2804
152,World Blitz 2021,Warsaw POL,2021.12.29,8.25,"Firouzja,Alireza","Saraci,Nderim",1-0,2486,C76,2804
153,World Blitz 2021,Warsaw POL,2021.12.29,9.18,"Predke,A","Firouzja,Alireza",1-0,2804,E48,2682
154,World Blitz 2021,Warsaw POL,2021.12.29,10.28,"Mastrovasilis,D","Firouzja,Alireza",0-1,2804,B51,2627
155,World Blitz 2021,Warsaw POL,2021.12.29,11.17,"Firouzja,Alireza","Abdusattorov,Nodirbek",1-0,2633,A45,2804
156,World Blitz 2021,Warsaw POL,2021.12.29,12.11,"Adly,A","Firouzja,Alireza",0-1,2804,D02,2596
157,World Blitz 2021,Warsaw POL,2021.12.30,13.9,"Firouzja,Alireza","Karjakin,Sergey",0-1,2743,D02,2804
158,World Blitz 2021,Warsaw POL,2021.12.30,14.12,"Firouzja,Alireza","Moroni,L",1-0,2575,B06,2804
159,World Blitz 2021,Warsaw POL,2021.12.30,15.9,"Onischuk,V","Firouzja,Alireza",0-1,2804,A07,2620
160,World Blitz 2021,Warsaw POL,2021.12.30,16.7,"Maghsoodloo,Parham","Firouzja,Alireza",1-0,2804,E46,2701
161,World Blitz 2021,Warsaw POL,2021.12.30,17.10,"Firouzja,Alireza","Muradli,Mahammad",1-0,2503,B90,2804
162,World Blitz 2021,Warsaw POL,2021.12.30,18.7,"Kravtsiv,M","Firouzja,Alireza",0-1,2804,B51,2604
163,World Blitz 2021,Warsaw POL,2021.12.30,19.5,"Firouzja,Alireza","Erigaisi,Arjun",1-0,2629,B76,2804
164,World Blitz 2021,Warsaw POL,2021.12.30,20.2,"Dubov,Daniil","Firouzja,Alireza",0-1,2804,A49,2720
165,World Blitz 2021,Warsaw POL,2021.12.30,21.3,"Firouzja,Alireza","Aronian,L",1-0,2772,C53,2804
166,Superbet Classic 2022,Bucharest ROU,2022.05.05,1.1,"Caruana,F","Firouzja,Alireza",1/2-1/2,2804,D35,2786
167,Superbet Classic 2022,Bucharest ROU,2022.05.06,2.2,"Firouzja,Alireza","Nepomniachtchi,I",0-1,2773,C24,2804
168,Superbet Classic 2022,Bucharest ROU,2022.05.07,3.4,"Aronian,L","Firouzja,Alireza",1/2-1/2,2804,D17,2765
169,Superbet Classic 2022,Bucharest ROU,2022.05.08,4.3,"Firouzja,Alireza","Rapport,R",1/2-1/2,2776,B45,2804
170,Superbet Classic 2022,Bucharest ROU,2022.05.09,5.3,"Deac,Bogdan-Daniel","Firouzja,Alireza",1/2-1/2,2804,E73,2671
171,Superbet Classic 2022,Bucharest ROU,2022.05.11,6.5,"Mamedyarov,S","Firouzja,Alireza",1/2-1/2,2804,E39,2759
172,Superbet Classic 2022,Bucharest ROU,2022.05.12,7.3,"Firouzja,Alireza","Dominguez Perez,L",1-0,2753,E48,2804
173,Superbet Classic 2022,Bucharest ROU,2022.05.13,8.1,"So,W","Firouzja,Alireza",1/2-1/2,2804,E92,2776
174,Superbet Classic 2022,Bucharest ROU,2022.05.14,9.3,"Firouzja,Alireza","Vachier Lagrave,M",0-1,2750,D78,2804
175,FIDE Candidates 2022,Madrid ESP,2022.06.17,1.4,"Radjabov,T","Firouzja,Alireza",1/2-1/2,2793,D37,2753
176,FIDE Candidates 2022,Madrid ESP,2022.06.18,2.1,"Rapport,R","Firouzja,Alireza",1/2-1/2,2793,B53,2764
177,FIDE Candidates 2022,Madrid ESP,2022.06.19,3.4,"Firouzja,Alireza","Nakamura,Hi",1/2-1/2,2760,E32,2793
178,FIDE Candidates 2022,Madrid ESP,2022.06.21,4.2,"Nepomniachtchi,I","Firouzja,Alireza",1-0,2793,B90,2766
179,FIDE Candidates 2022,Madrid ESP,2022.06.22,5.3,"Firouzja,Alireza","Duda,J",1/2-1/2,2750,C42,2793
180,FIDE Candidates 2022,Madrid ESP,2022.06.23,6.2,"Firouzja,Alireza","Caruana,F",0-1,2783,E06,2793
181,FIDE Candidates 2022,Madrid ESP,2022.06.25,7.3,Ding Liren,"Firouzja,Alireza",1/2-1/2,2793,A20,2806
182,FIDE Candidates 2022,Madrid ESP,2022.06.26,8.4,"Firouzja,Alireza","Radjabov,T",1/2-1/2,2753,C50,2793
183,FIDE Candidates 2022,Madrid ESP,2022.06.27,9.1,"Firouzja,Alireza","Rapport,R",1-0,2764,C65,2793
184,FIDE Candidates 2022,Madrid ESP,2022.06.29,10.4,"Nakamura,Hi","Firouzja,Alireza",1-0,2793,B90,2760
185,FIDE Candidates 2022,Madrid ESP,2022.06.30,11.2,"Firouzja,Alireza","Nepomniachtchi,I",0-1,2766,C42,2793
186,FIDE Candidates 2022,Madrid ESP,2022.07.01,12.3,"Duda,J","Firouzja,Alireza",1/2-1/2,2793,D45,2750
187,FIDE Candidates 2022,Madrid ESP,2022.07.03,13.3,"Firouzja,Alireza",Ding Liren,1/2-1/2,2806,C47,2793
