,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
42,20.0,0.0,7.0,116.0,1.0,23.0,6.0,1.0,2.0,25.0,0.0,24.0,44.0,14.0,6.0,19.0,11.0,3.0,0.0,3.0,0.0,59.0,36.0,102.0,41.0,2.0,0.0,110.0,0.0,5.0,36.0,33.0,240.0,42.0,0.0,12.0,0.0,472.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,249.0,0.0,101.0,568.0,0.0,426.0,0.0,0.0,32.0,76.0,36.0,370.0,841.0,0.0,0.0,115.0,6.0,124.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5.0,2.0,6.0,18.0,26.0,0.0,0.0,0.0,5.0,3.0,23.0,0.0,2.0,18.0,15.0,54.0,23.0,5.0,8.0,6.0,27.0,37.0,17.0,0.0,3.0,23.0,18.0,0.0,0.0,13.0,0.0,41.0,13.0,93.0,0.0,70.0,14.0,197.0,39.0,0.0,112.0,6.0,59.0,0.0,0.0,454.0,158.0,0.0,0.0,0.0,168.0,0.0,0.0,10.0,0.0,0.0,66.0,30.0,19.0,0.0,0.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,23.0,40.0,17.0,11.0,0.0,16.0,4.0,13.0,0.0,3.0,24.0,23.0,18.0,29.0,7.0,81.0,59.0,19.0,0.0,32.0,76.0,61.0,0.0,3.0,0.0,13.0,197.0,65.0,291.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12.0,13.0,22.0,15.0,13.0,10.0,0.0,0.0,51.0,10.0,59.0,9.0,26.0,64.0,25.0,5.0,0.0,99.0,165.0,0.0,161.0,0.0,26.0,0.0,42.0,18.0,39.0,245.0,16.0,0.0,18.0,0.0,158.0,140.0,191.0,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,52.0,0.0,9.0,0.0,0.0,2.0,13.0,4.0,19.0,8.0,14.0,31.0,11.0,21.0,31.0,7.0,0.0,67.0,36.0,9.0,156.0,66.0,54.0,17.0,51.0,0.0,43.0,76.0,1052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6.0,50.0,12.0,0.0,25.0,0.0,52.0,9.0,15.0,37.0,89.0,13.0,11.0,33.0,23.0,46.0,13.0,10.0,78.0,5.0,28.0,30.0,7.0,49.0,27.0,21.0,2.0,35.0,10.0,0.0,0.0,3.0,14.0,36.0,44.0,0.0,73.0,80.0,25.0,0.0,12.0,0.0,12.0,292.0,38.0,0.0,25.0,148.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5.0,0.0,17.0,18.0,30.0,0.0,12.0,3.0,19.0,17.0,77.0,99.0,33.0,72.0,46.0,20.0,52.0,0.0,36.0,57.0,206.0,0.0,0.0,59.0,110.0,26.0,56.0,452.0,55.0,47.0,85.0,54.0,50.0,247.0,0.0,498.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7.0,15.0,10.0,20.0,9.0,13.0,14.0,51.0,22.0,2.0,0.0,47.0,28.0,33.0,134.0,32.0,0.0,54.0,35.0,15.0,16.0,35.0,0.0,6.0,150.0,174.0,266.0,65.0,460.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,29.0,11.0,4.0,0.0,13.0,4.0,61.0,0.0,0.0,17.0,50.0,16.0,14.0,0.0,11.0,49.0,16.0,26.0,11.0,5.0,21.0,28.0,0.0,8.0,0.0,0.0,10.0,26.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20.0,20.0,0.0,11.0,72.0,16.0,24.0,15.0,96.0,0.0,4.0,0.0,10.0,56.0,0.0,13.0,54.0,6.0,0.0,17.0,100.0,129.0,87.0,131.0,136.0,0.0,4.0,0.0,9.0,0.0,67.0,0.0,12.0,21.0,17.0,105.0,0.0,4.0,0.0,0.0,6.0,26.0,12.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
