,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
44,17.0,19.0,29.0,2.0,22.0,0.0,21.0,14.0,0.0,7.0,28.0,18.0,18.0,10.0,0.0,32.0,2.0,26.0,52.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,37.0,9.0,15.0,17.0,49.0,17.0,20.0,0.0,25.0,18.0,25.0,0.0,0.0,6.0,84.0,9.0,17.0,0.0,0.0,30.0,8.0,6.0,0.0,2.0,13.0,8.0,0.0,33.0,0.0,0.0,0.0,0.0,26.0,204.0,24.0,20.0,0.0,87.0,22.0,104.0,10.0,17.0,40.0,30.0,42.0,51.0,8.0,0.0,0.0,23.0,7.0,0.0,8.0,42.0,0.0,0.0,0.0,27.0,0.0,651.0,88.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,37.0,12.0,7.0,2.0,28.0,166.0,44.0,0.0,2.0,6.0,0.0,104.0,214.0,26.0,154.0,20.0,16.0,15.0,0.0,129.0,27.0,49.0,0.0,1.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9.0,24.0,6.0,10.0,0.0,35.0,7.0,24.0,42.0,25.0,20.0,31.0,13.0,135.0,39.0,234.0,66.0,33.0,4.0,0.0,64.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,38.0,5.0,10.0,7.0,22.0,8.0,0.0,16.0,20.0,5.0,93.0,18.0,6.0,0.0,19.0,26.0,0.0,0.0,22.0,25.0,12.0,15.0,11.0,43.0,25.0,18.0,73.0,21.0,0.0,1.0,30.0,20.0,47.0,32.0,0.0,0.0,77.0,41.0,0.0,14.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,40.0,19.0,13.0,31.0,17.0,7.0,12.0,56.0,8.0,53.0,60.0,36.0,49.0,0.0,47.0,7.0,0.0,9.0,25.0,15.0,16.0,75.0,12.0,18.0,9.0,256.0,0.0,0.0,11.0,0.0,48.0,57.0,0.0,0.0,0.0,90.0,117.0,149.0,0.0,14.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12.0,0.0,29.0,10.0,7.0,15.0,12.0,8.0,0.0,0.0,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,12.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,168.0,0.0,35.0,21.0,63.0,12.0,2.0,0.0,8.0,19.0,0.0,26.0,22.0,5.0,9.0,0.0,0.0,0.0,0.0,40.0,275.0,5.0,170.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,17.0,20.0,0.0,32.0,4.0,9.0,56.0,13.0,11.0,4.0,5.0,67.0,7.0,10.0,0.0,0.0,27.0,37.0,26.0,12.0,83.0,41.0,0.0,14.0,5.0,0.0,6.0,23.0,26.0,0.0,0.0,9.0,22.0,8.0,0.0,13.0,11.0,11.0,39.0,15.0,37.0,147.0,115.0,111.0,248.0,0.0,13.0,4.0,107.0,0.0,258.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,25.0,0.0,22.0,40.0,8.0,17.0,0.0,8.0,17.0,0.0,11.0,32.0,18.0,50.0,31.0,28.0,0.0,50.0,0.0,10.0,16.0,24.0,0.0,17.0,0.0,0.0,0.0,10.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
