,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
42,29.0,27.0,12.0,6.0,36.0,30.0,12.0,0.0,7.0,20.0,42.0,57.0,3.0,25.0,64.0,36.0,0.0,3.0,0.0,14.0,43.0,61.0,11.0,24.0,11.0,0.0,0.0,100.0,9.0,0.0,4.0,78.0,0.0,19.0,0.0,0.0,22.0,33.0,0.0,0.0,0.0,34.0,49.0,0.0,117.0,26.0,0.0,218.0,29.0,30.0,33.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,39.0,0.0,5.0,6.0,23.0,34.0,0.0,13.0,9.0,12.0,0.0,33.0,7.0,55.0,0.0,6.0,0.0,39.0,30.0,12.0,15.0,18.0,10.0,0.0,181.0,0.0,63.0,99.0,0.0,19.0,191.0,144.0,85.0,113.0,101.0,39.0,19.0,56.0,74.0,182.0,7.0,0.0,16.0,59.0,62.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,39.0,1.0,43.0,12.0,37.0,0.0,24.0,21.0,18.0,24.0,10.0,64.0,39.0,44.0,52.0,3.0,30.0,22.0,62.0,29.0,5.0,22.0,81.0,27.0,34.0,0.0,7.0,29.0,0.0,209.0,133.0,19.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,36.0,0.0,4.0,9.0,23.0,0.0,0.0,37.0,0.0,10.0,0.0,28.0,0.0,25.0,12.0,89.0,0.0,44.0,74.0,0.0,49.0,92.0,69.0,56.0,103.0,21.0,31.0,0.0,0.0,63.0,120.0,0.0,7.0,245.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10.0,20.0,2.0,1.0,81.0,19.0,26.0,5.0,18.0,0.0,14.0,32.0,26.0,96.0,0.0,6.0,20.0,0.0,35.0,34.0,14.0,111.0,1.0,2.0,56.0,9.0,21.0,21.0,68.0,26.0,63.0,37.0,1.0,367.0,0.0,224.0,158.0,118.0,0.0,0.0,191.0,243.0,0.0,60.0,0.0,699.0,41.0,24.0,24.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,12.0,24.0,15.0,36.0,4.0,15.0,9.0,0.0,7.0,4.0,17.0,8.0,4.0,5.0,3.0,0.0,0.0,21.0,0.0,44.0,24.0,0.0,19.0,19.0,34.0,53.0,82.0,17.0,6.0,10.0,6.0,10.0,62.0,8.0,29.0,3.0,17.0,30.0,6.0,17.0,16.0,0.0,0.0,9.0,9.0,11.0,0.0,15.0,42.0,0.0,4.0,0.0,0.0,22.0,17.0,85.0,1.0,0.0,0.0,11.0,0.0,0.0,38.0,62.0,0.0,68.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,58.0,26.0,162.0,21.0,0.0,0.0,0.0,0.0,0.0,111.0,552.0,0.0,0.0,151.0,0.0,0.0,16.0,15.0,286.0,7.0,0.0
48,23.0,17.0,18.0,15.0,14.0,8.0,32.0,9.0,13.0,16.0,13.0,47.0,13.0,13.0,7.0,39.0,0.0,0.0,19.0,37.0,11.0,11.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,19.0,14.0,8.0,14.0,11.0,2.0,15.0,6.0,0.0,18.0,29.0,0.0,0.0,0.0,26.0,28.0,10.0,0.0,0.0,3.0,17.0,20.0,0.0,47.0,17.0,0.0,6.0,0.0,22.0,12.0,0.0,0.0,16.0,16.0,41.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11.0,6.0,26.0,3.0,20.0,0.0,11.0,28.0,0.0,0.0,35.0,25.0,26.0,6.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,40.0,9.0,14.0,6.0,14.0,16.0,9.0,5.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7.0,5.0,16.0,23.0,0.0,2.0,41.0,0.0,0.0,24.0,12.0,6.0,25.0,142.0,14.0,0.0,28.0,19.0,96.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
