,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
47,0.0,11.0,3.0,0.0,23.0,26.0,15.0,0.0,5.0,7.0,2.0,33.0,8.0,31.0,83.0,13.0,97.0,14.0,0.0,0.0,68.0,61.0,52.0,9.0,100.0,8.0,37.0,25.0,30.0,8.0,30.0,0.0,49.0,0.0,15.0,0.0,0.0,45.0,8.0,16.0,35.0,13.0,51.0,9.0,132.0,18.0,7.0,84.0,12.0,26.0,30.0,45.0,8.0,0.0,390.0,27.0,73.0,0.0,0.0,320.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
48,14.0,14.0,0.0,0.0,21.0,0.0,7.0,31.0,24.0,17.0,24.0,3.0,12.0,1.0,107.0,30.0,0.0,17.0,0.0,1.0,41.0,14.0,67.0,9.0,16.0,0.0,24.0,17.0,5.0,10.0,231.0,0.0,133.0,284.0,387.0,6.0,10.0,190.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,55.0,6.0,5.0,0.0,12.0,32.0,35.0,25.0,32.0,7.0,0.0,12.0,44.0,40.0,7.0,16.0,2.0,23.0,0.0,39.0,56.0,0.0,197.0,730.0,4.0,35.0,0.0,0.0,6.0,8.0,54.0,97.0,93.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,23.0,31.0,0.0,16.0,13.0,8.0,1.0,16.0,11.0,24.0,25.0,54.0,125.0,0.0,35.0,3.0,0.0,85.0,43.0,23.0,25.0,26.0,74.0,78.0,99.0,137.0,0.0,21.0,0.0,4.0,0.0,0.0,151.0,2.0,0.0,11.0,24.0,0.0,555.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,62.0,29.0,12.0,38.0,0.0,0.0,12.0,87.0,3.0,11.0,18.0,19.0,0.0,0.0,13.0,101.0,16.0,20.0,25.0,67.0,12.0,12.0,0.0,13.0,134.0,81.0,230.0,0.0,161.0,416.0,40.0,0.0,0.0,0.0,128.0,33.0,0.0,44.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5.0,34.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,12.0,0.0,18.0,2.0,18.0,3.0,0.0,80.0,89.0,1.0,8.0,28.0,34.0,162.0,150.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,130.0,78.0,64.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,36.0,16.0,11.0,13.0,40.0,46.0,20.0,0.0,19.0,6.0,50.0,0.0,37.0,35.0,16.0,17.0,3.0,131.0,32.0,45.0,17.0,0.0,15.0,43.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,523.0,66.0,57.0,0.0,45.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7.0,26.0,14.0,0.0,23.0,50.0,4.0,12.0,46.0,0.0,9.0,33.0,63.0,39.0,227.0,46.0,0.0,66.0,0.0,35.0,0.0,0.0,267.0,57.0,0.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,7.0,34.0,17.0,8.0,0.0,3.0,6.0,34.0,12.0,0.0,28.0,0.0,18.0,11.0,9.0,7.0,80.0,68.0,11.0,188.0,123.0,11.0,28.0,122.0,1.0,144.0,72.0,138.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,77.0,7.0,23.0,17.0,34.0,0.0,5.0,11.0,27.0,26.0,0.0,4.0,0.0,26.0,4.0,47.0,46.0,26.0,35.0,45.0,23.0,0.0,0.0,41.0,27.0,21.0,15.0,8.0,0.0,0.0,110.0,41.0,53.0,5.0,269.0,162.0,20.0,12.0,211.0,0.0,0.0,0.0,0.0,38.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12.0,0.0,11.0,0.0,0.0,17.0,8.0,6.0,10.0,7.0,8.0,7.0,0.0,0.0,10.0,45.0,14.0,14.0,13.0,10.0,0.0,0.0,24.0,8.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,15.0,8.0,21.0,0.0,2.0,3.0,5.0,2.0,1.0,0.0,6.0,0.0,35.0,15.0,6.0,9.0,62.0,39.0,34.0,27.0,38.0,9.0,3.0,18.0,0.0,301.0,35.0,20.0,18.0,194.0,0.0,566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10.0,32.0,20.0,78.0,0.0,6.0,15.0,33.0,17.0,1.0,15.0,33.0,19.0,37.0,4.0,22.0,0.0,0.0,12.0,61.0,15.0,0.0,5.0,17.0,14.0,11.0,3.0,62.0,0.0,49.0,43.0,19.0,15.0,5.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
